
serial_key;1
author;Sheen, Fulton J. (1895-1979)
title;"Wstęp do religii / Fulton J. Sheen ; [przełożyła dr hab. Izabella Parowicz]."
ISBN;9788381013758
publisher; WDS
published_city;Sandomierz 
published_year; copyright 2021.
price;
bought_date;
details;"Wariant tytułu
Tytuł oryginału: Preface to religion,

Opis fiz.
282, [6] stron : portret ; 18 cm.

Hasła dodatkowe
Parowicz, Izabella Tłumaczenie
Wydawnictwo Diecezjalne i Drukarnia (Sandomierz) Wydawca

UKD
272-58

"
physical_location;plebania cos tam
categories;Ignacy Loyola, Duchowość kat, Poradnik duchowy, ada, 

serial_key;2
author;Sheen, Fulton J. (1895-1979)
title;"Wstęp do religii / Fulton J. Sheen ; [przełożyła dr hab. Izabella Parowicz]."
ISBN;9788381013758
publisher; WDS
published_city;Sandomierz 
published_year; copyright 2021.
price;
bought_date;
details;"Wariant tytułu
Tytuł oryginału: Preface to religion,

Opis fiz.
282, [6] stron : portret ; 18 cm.

Hasła dodatkowe
Parowicz, Izabella Tłumaczenie
Wydawnictwo Diecezjalne i Drukarnia (Sandomierz) Wydawca

UKD
272-58

"
physical_location;plebania cos tam
categories;Poradnik duchowy , Duchowość kat , Poradnik duchowy , 

